divergence at cell 0,divergence at cell 1,divergence at cell 2,divergence at cell 3,divergence at cell 4,divergence at cell 5,divergence at cell 6,divergence at cell 7,divergence at cell 8,pressure correction
-0.048765197,-0.04994607,-0.05054854,-0.048864335,-0.05007504,-0.05067207,-0.04890561,-0.05012609,-0.050726205,-0.022533767
-0.05011797,-0.050116763,-0.05012083,-0.050772414,-0.05077125,-0.05077724,-0.05106996,-0.05107285,-0.051075444,-0.022847062
-0.051326483,-0.05133131,-0.051335067,-0.0513203,-0.051307917,-0.051304564,-0.05131884,-0.05132222,-0.05132699,-0.023088561
-0.05126831,-0.05128695,-0.05130841,-0.05126284,-0.051285744,-0.05129744,0.0,1.4901161e-08,1.4901161e-08,-0.023078583
-0.05126457,-0.051292866,-0.051297903,-0.051269278,-0.051291704,-0.0513227,-0.05126576,-0.051290944,-0.051296473,-0.023081265
-0.05129409,-0.051301703,-0.051301494,-1.4901161e-08,0.0,0.0,0.0,1.4901161e-08,0.0,0.0
-0.22556326,-0.034050256,-0.042195275,-0.22557475,-0.0340693,-0.042204857,-0.22556853,-0.034061953,-0.042200968,-0.0153311845
-0.051263064,-0.051284075,-0.051301226,-0.05126454,-0.05129075,-0.0513117,-0.051270664,-0.051287904,-0.051307917,-0.023080837
-0.05124663,-0.051268116,-0.051297694,-0.05126837,-0.05130811,-0.05131702,-0.05126831,-0.05128695,-0.05130841,-0.023088649
-0.05132179,-0.051311,-0.05131598,-0.051321715,-0.051306754,-0.051311463,-0.051326513,-0.051315337,-0.051312894,-0.023088038
-0.051324606,-0.11780143,-1.4901161e-08,-0.051309556,-0.11779432,0.0,-0.05131696,-0.1177986,0.0,-0.053007443
-0.050138965,-0.050755724,-0.05103086,-0.05015254,-0.050760955,-0.05105333,-0.050157323,-0.05076386,-0.051054254,-0.02284243
-0.051309824,-0.051311,-0.05129482,-0.051325098,-0.05132076,-0.05133751,-0.05131434,-0.051321283,-0.05131504,-0.023094341
-0.050744057,-0.0510616,-0.05119969,-0.050724298,-0.051048696,-0.05120112,-0.050741926,-0.05106166,-0.051206782,-0.022971913
-0.020253375,-0.02170685,-0.022298068,-0.035200372,-0.03740953,-0.038359195,-0.0408282,-0.043510005,-0.04469368,-0.016834287
-0.05130458,-0.051301703,-0.051298603,1.4901161e-08,0.0,0.0,0.0,-4.4703484e-08,2.9802322e-08,0.0
-0.05016397,-0.05075194,-0.051058754,-0.05016996,-0.050768346,-0.051058993,-0.05016209,-0.050760746,-0.051061362,-0.022845754
-0.05131434,-0.051321283,-0.05131504,-0.051307946,-0.051302433,-0.051300064,-0.051326513,-0.05132602,-0.05134131,-0.023086093
-0.042203397,-0.046572924,-0.048935175,-0.042195573,-0.046584368,-0.048943534,-0.042205796,-0.046593204,-0.048942313,-0.020962965
-0.048934475,-0.050167814,-0.050763354,-0.04894446,-0.05016066,-0.050763354,-0.04893951,-0.050162584,-0.050759524,-0.022572298
-0.22556043,-0.03405641,-0.042201057,-0.22557184,-0.034060508,-0.042203397,-0.22556047,-0.03405495,-0.042195573,-0.015327228
-0.04868272,-0.04869482,1.4901161e-08,-0.050118163,-0.050119177,-2.9802322e-08,-0.050777927,-0.050782233,4.4703484e-08,-0.022553628
0.0,-0.5895956,-0.033540443,0.0,-0.5895928,-0.033540443,0.0,-0.58956856,-0.033540383,-0.35375568
-0.05129932,-0.051322743,-0.051308572,-0.05130525,-0.051321298,-0.051315054,-0.05130361,-0.051322237,-0.051307917,-0.023094583
-0.051051646,-0.05119796,-0.05124663,-0.05105567,-0.05118893,-0.05126837,-0.05105801,-0.05121617,-0.05126831,-0.023035018
-0.05130841,-0.051311493,-0.05131267,-0.05129744,-0.05129552,-0.051300734,-0.051318377,-0.051327944,-0.05133511,-0.023082983
-0.051326513,-0.051324606,-0.051319823,-0.051316515,-0.051308393,-0.051316023,-0.05131741,-0.051319852,-0.05131176,-0.023088776
1.4901161e-08,-0.22557475,-0.0340693,2.9802322e-08,-0.22556853,-0.034061953,-2.9802322e-08,-0.22556706,-0.034051195,-0.10150584
-0.051299334,-0.05130674,-0.051312223,-0.05127552,-0.05129981,-0.051295057,-0.05130984,-0.051324636,-0.05132553,-0.023084914
-0.051327974,-0.051335096,-0.11780286,-0.05129671,-0.051304594,-0.11778045,-0.051320806,-0.051327914,-0.11780144,-0.023087066
-0.05105473,-0.051195845,-0.05126044,-0.05106376,-0.051206365,-0.051269278,-0.051054433,-0.05119376,-0.051266834,-0.023042863
-0.046582237,-0.048939675,-0.050160125,-0.046578676,-0.04894212,-0.05015801,-0.046577632,-0.04894331,-0.050157055,-0.022023953
-0.023225263,-0.0382023,-0.045186043,-0.023218125,-0.038197055,-0.04518962,-0.023226231,-0.03820567,-0.045181528,-0.017188674
-0.0513165,-0.05132653,-0.05132222,-0.051302448,-0.05131407,-0.05131392,-0.051307917,-0.051314116,-0.051315114,-0.023091331
-0.051293865,-0.05130504,-0.051309347,-0.05129291,-0.051304564,-0.051312715,-0.05129838,-0.051308855,-0.051309377,-0.023087053
-0.03902696,-0.039035305,-0.039043933,-0.045561805,-0.04557775,-0.04558544,-0.04865244,-0.04867074,-0.04868485,-0.020509986
-0.05074121,-0.05105567,-0.05118893,-0.050733104,-0.05105801,-0.05121617,-0.050733835,-0.05105421,-0.051194444,-0.022976104
0.0,-0.58959717,-0.03354034,0.0,-0.5895789,-0.033540457,0.0,-0.58958524,-0.033540368,-0.35374734
-0.045186043,-0.048485503,-0.05003287,-0.04518962,-0.04849051,-0.050024986,-0.045181528,-0.048488095,-0.05003999,-0.021820728
-0.042206287,-0.046575263,-0.048934475,-0.042197466,-0.04658225,-0.04894446,-0.04220006,-0.046588883,-0.048942596,-0.020962013
